pos	count	bq.mean	bq.sd
1	6649455	30.6181	4.72183
2	6649455	30.5295	5.00138
3	6649455	30.2076	5.2355
4	6649455	30.0287	5.34665
5	6649455	29.8112	5.47201
6	6649455	29.8284	5.52842
7	6649455	29.8161	5.57876
8	6649455	29.734	5.64111
9	6642723	29.6778	5.67046
10	6636087	29.6767	5.68202
11	6629650	29.6783	5.70201
12	6623491	29.6988	5.70904
13	6618163	29.7259	5.70872
14	6613514	29.7502	5.69968
15	6609125	29.7682	5.6948
16	6604825	29.7891	5.69104
17	6600759	29.798	5.68575
18	6596646	29.8024	5.69011
19	6592574	29.8052	5.69103
20	6588519	29.7947	5.69641
21	6584517	29.7845	5.70254
22	6580685	29.7851	5.70878
23	6576323	29.7847	5.71024
24	6572303	29.7905	5.71039
25	6568195	29.8037	5.70292
26	6564160	29.8162	5.69975
27	6560173	29.833	5.69466
28	6556290	29.8555	5.68794
29	6552426	29.8736	5.67977
30	6548614	29.8902	5.67421
31	6544832	29.914	5.66261
32	6541053	29.93	5.6567
33	6537110	29.9422	5.6578
34	6533295	29.955	5.65468
35	6529647	29.9597	5.65689
36	6525890	29.9583	5.66457
37	6522291	29.9583	5.6711
38	6518749	29.9511	5.6746
39	6515185	29.942	5.68236
40	6511746	29.9341	5.69444
41	6508056	29.921	5.70003
42	6504464	29.9019	5.71023
43	6500943	29.8922	5.71681
44	6497466	29.8732	5.72748
45	6494006	29.8542	5.73961
46	6490448	29.8444	5.74403
47	6486915	29.8302	5.7473
48	6483369	29.8116	5.76174
49	6479726	29.8017	5.76371
50	6475994	29.7888	5.76833
51	6472264	29.7758	5.77677
52	6468419	29.7669	5.77941
53	6464540	29.7554	5.78552
54	6460764	29.7412	5.79297
55	6456745	29.7339	5.79327
56	6452949	29.72	5.80551
57	6449015	29.701	5.81115
58	6444937	29.6927	5.82169
59	6440841	29.6772	5.82997
60	6436745	29.6613	5.84109
61	6432661	29.6545	5.84936
62	6428598	29.6406	5.85587
63	6424407	29.6245	5.87043
64	6420262	29.6136	5.88015
65	6416089	29.6012	5.8869
66	6412002	29.59	5.89617
67	6407548	29.585	5.89997
68	6403227	29.5735	5.90885
69	6398811	29.5564	5.91972
70	6394423	29.55	5.92074
71	6390004	29.5387	5.92755
72	6385480	29.5196	5.93945
73	6381044	29.5098	5.94228
74	6376624	29.494	5.94727
75	6372144	29.4767	5.95676
76	6367682	29.4641	5.9608
77	6363183	29.4452	5.96564
78	6358571	29.4225	5.97596
79	6353948	29.4087	5.98174
80	6349384	29.3873	5.98941
81	6344768	29.3678	5.99779
82	6340406	29.3523	6.00098
83	6335849	29.332	6.01197
84	6331195	29.3102	6.02062
85	6326599	29.2985	6.0262
