offset	mismatches	insertions	deletions	reads
0	23083	39	0	6649455
1	8869	75	269	6649455
2	5268	1551	3062	6649455
3	3730	2916	4847	6649455
4	3093	3705	1963	6649455
5	2720	4320	2115	6649455
6	2662	5124	2635	6649455
7	2521	5860	3342	6649455
8	2466	6132	3762	6642723
9	2437	6022	3279	6636087
10	2348	5883	3265	6629650
11	2330	5844	3158	6623491
12	2357	5484	3093	6618163
13	2330	5331	3256	6613514
14	2358	5293	3252	6609125
15	2341	5166	3134	6604825
16	2367	5004	3158	6600759
17	2319	4814	3286	6596646
18	2503	4754	3254	6592574
19	2429	4611	3282	6588519
20	2331	4525	3306	6584517
21	2253	4439	3480	6580685
22	2404	4504	3520	6576323
23	2379	4430	3505	6572303
24	2319	4271	3550	6568195
25	2203	4257	3601	6564160
26	2236	4288	3520	6560173
27	2217	4159	3785	6556290
28	2245	4110	3799	6552426
29	2244	4227	3761	6548614
30	2243	4153	3709	6544832
31	2318	4169	3914	6541053
32	2288	4074	3986	6537110
33	2381	4169	3994	6533295
34	2453	4292	4052	6529647
35	2432	4293	4139	6525890
36	2357	4127	4123	6522291
37	2407	4320	4119	6518749
38	2479	4324	4190	6515185
39	2474	4344	4315	6511746
40	2492	4340	4366	6508056
41	2474	4395	4409	6504464
42	2402	4417	4386	6500943
43	2429	4177	4673	6497466
44	2415	4253	4696	6494006
45	2459	4209	4658	6490448
46	2498	4168	4957	6486915
47	2518	4143	4841	6483369
48	2547	4113	4921	6479726
49	2537	4054	4814	6475994
50	2495	4049	5076	6472264
51	2647	4059	5204	6468419
52	2552	4043	5143	6464540
53	2470	4073	5276	6460764
54	2561	4028	5353	6456745
55	2516	4081	5336	6452949
56	2555	4097	5455	6449015
57	2480	4070	5445	6444937
58	2589	4248	5502	6440841
59	2580	4089	5647	6436745
60	2552	4141	5742	6432661
61	2587	4276	5690	6428598
62	2572	4329	5799	6424407
63	2595	4390	5734	6420262
64	2623	4436	5932	6416089
65	2512	4570	5879	6412002
66	2475	4615	5784	6407548
67	2539	4687	6007	6403227
68	2544	4811	6111	6398811
69	2561	4709	6064	6394423
70	2504	4843	5951	6390004
71	2489	4842	6137	6385480
72	2636	4839	6271	6381044
73	2567	5005	6164	6376624
74	2615	4851	6236	6372144
75	2559	4994	6299	6367682
76	2494	5206	6153	6363183
77	2582	5217	6224	6358571
78	2569	5151	6172	6353948
79	2581	5120	6314	6349384
80	2588	5306	6312	6344768
81	2548	5326	6324	6340406
82	2522	5366	6294	6335849
83	2528	5388	6334	6331195
84	2556	5376	6562	6326599
85	2520	5438	6625	6321916
86	2561	5564	6642	6317195
87	2514	5705	6592	6312666
88	2511	5657	6704	6308083
89	2465	5743	6732	6303561
90	2480	5664	6795	6298986
91	2474	5909	6919	6294402
92	2504	5807	7101	6289809
93	2532	5796	7082	6285211
94	2530	5970	7189	6280475
95	2513	5932	7180	6275893
96	2525	6032	7212	6271172
97	2413	6100	7328	6266582
98	2442	5991	7447	6262074
99	2431	6100	7571	6257431
100	2447	6058	7604	6252773
101	2459	6071	7792	6248123
102	2406	6140	7850	6243409
103	2406	6254	7731	6238711
104	2487	6190	7844	6233996
105	2476	6311	7854	6229279
106	2415	6330	7944	6224458
107	2404	6216	8179	6219713
108	2343	6429	8340	6214975
109	2377	6334	8036	6210200
110	2263	6316	8285	6205432
111	2303	6523	8398	6200489
112	2230	6362	8456	6195410
113	2293	6561	8575	6190306
114	2275	6643	8533	6185221
115	2232	6566	8565	6180052
116	2359	6553	8501	6174895
117	2228	6708	8711	6169674
118	2243	6700	8903	6164455
119	2098	6874	8715	6159042
120	2154	6915	8878	6153718
121	2205	7021	8871	6148286
122	2196	6945	9073	6142782
123	2244	7068	9047	6137329
124	2260	7183	9128	6131744
125	2315	7220	9162	6126046
126	2328	7236	9214	6120348
127	2258	7182	9231	6114725
128	2342	7579	9361	6109004
129	2329	7420	9232	6103225
130	2335	7458	9503	6097492
131	2247	7381	9348	6091565
132	2272	7681	9451	6085679
133	2378	7703	9514	6079714
134	2362	7601	9574	6073746
135	2301	7684	9702	6067682
136	2300	7807	9736	6061577
137	2304	7883	9941	6055398
138	2299	8048	9957	6049272
139	2501	8151	10049	6043223
140	2394	7996	10120	6037004
141	2375	8001	10018	6030742
142	2392	8170	10269	6024536
143	2344	8165	10420	6018366
144	2373	8178	10480	6011944
145	2430	8085	10611	6005626
146	2443	8062	10616	5999468
147	2398	8119	10636	5993018
148	2514	8146	10593	5986423
149	2535	8457	10522	5980152
150	2508	8410	10839	5973792
151	2548	8353	10888	5967361
152	2417	8538	10961	5960829
153	2534	8626	11117	5954365
154	2537	8688	11212	5947731
155	2555	8829	11176	5941232
156	2401	8974	11336	5934613
157	2531	8909	11306	5927995
158	2568	8790	11383	5921191
159	2534	9107	11358	5914548
160	2538	9019	11396	5907697
161	2560	9059	11717	5900817
162	2568	9047	11551	5894130
163	2684	9135	11774	5887203
164	2637	9346	11546	5880407
165	2685	9272	11834	5873417
166	2726	9518	11773	5866378
167	2792	9442	11733	5859366
168	2671	9555	11839	5852287
169	2737	9709	11990	5845128
170	2715	9600	11897	5837925
171	2776	9648	12229	5830738
172	2794	9848	12038	5823302
173	2709	9826	12380	5815946
174	2788	9867	12375	5808481
175	2891	9921	12424	5801050
176	2823	10051	12502	5793671
177	2830	10095	12735	5785968
178	2900	10179	12696	5778274
179	2863	10158	12739	5770390
180	2953	9950	12834	5762434
181	2918	10279	12870	5754650
182	2988	10434	12883	5746666
183	2960	10507	13044	5738737
184	2996	10831	13102	5730624
185	2990	10565	13133	5722523
186	3038	10658	13403	5714350
187	2971	10872	13458	5706186
188	2908	10995	13500	5697849
189	3012	11014	13471	5689522
190	3030	10918	13575	5680836
191	3075	11090	13717	5672209
192	2967	11201	13571	5663592
193	3070	11243	13843	5654982
194	3063	11365	13888	5646287
195	3091	11460	13686	5637446
196	3126	11249	13866	5628672
197	3165	11458	14178	5619967
198	3164	11379	14416	5611132
199	3146	11391	14160	5602011
200	3283	11621	14241	5593006
201	3254	11839	14221	5584032
202	3376	11801	14514	5574834
203	3365	11820	14386	5565586
204	3258	11743	14660	5556480
205	3299	11962	14558	5547245
206	3328	12119	14840	5537732
207	3415	12194	14882	5528288
208	3261	12067	14928	5518726
209	3425	12259	14848	5509147
210	3397	12398	14862	5499498
211	3296	12644	14920	5490073
212	3462	12728	15422	5480494
213	3421	12609	15138	5470640
214	3512	12878	15176	5460829
215	3570	12825	15352	5450982
216	3494	12881	15145	5441028
